id,sales_volume,user_rating
P0,775,1.81
P1,127,1.54
P2,81,3.9
P3,75,1.24
P4,534,2.12
P5,859,3.43
P6,104,4.14
P7,97,3.27
P8,347,2.5
P9,804,1.69
P10,542,4.71
P11,121,4.68
P12,781,1.28
P13,165,1.67
P14,943,2.26
P15,247,4.56
P16,777,1.61
P17,448,2.99
P18,377,2.72
P19,932,1.34
P20,20,2.26
P21,67,4.75
P22,160,4.03
P23,966,1.5
P24,934,3.25
P25,323,1.3
P26,850,3.66
P27,153,3.09
P28,639,1.23
P29,878,2.45
P30,762,3.14
P31,982,4.81
P32,116,3.28
P33,615,1.08
P34,99,3.27
P35,112,2.64
P36,340,4.14
P37,376,3.87
P38,12,3.22
P39,170,4.33
P40,469,1.0
P41,638,1.91
P42,223,1.6
P43,945,5.0
P44,889,1.14
P45,818,2.17
P46,61,4.27
P47,101,4.82
P48,216,3.54
P49,608,2.76
P50,134,4.95
P51,428,1.74
P52,755,1.48
P53,900,4.2
P54,418,3.46
P55,826,1.42
P56,614,1.95
P57,555,2.11
P58,559,4.91
P59,435,4.51
P60,287,4.71
P61,375,2.73
P62,16,3.37
P63,420,4.31
P64,307,1.71
P65,641,1.35
P66,147,4.75
P67,958,4.92
P68,551,2.95
P69,571,1.25
P70,312,1.14
P71,609,3.12
P72,509,3.25
P73,465,3.47
P74,212,4.19
P75,787,2.5
P76,338,3.32
P77,986,3.17
P78,891,3.0
P79,435,4.75
P80,263,1.14
P81,926,1.27
P82,324,1.24
P83,269,2.83
P84,895,4.52
P85,588,4.61
P86,535,3.23
P87,369,3.51
P88,361,4.45
P89,856,3.91
P90,873,1.03
P91,24,3.17
P92,689,1.91
P93,326,4.72
P94,923,2.74
P95,237,1.94
P96,181,4.82
P97,483,3.75
P98,276,4.97
P99,930,3.47
P100,409,4.89
P101,711,2.78
P102,194,4.8
P103,134,2.66
P104,543,2.8
P105,655,2.02
P106,357,4.16
P107,92,3.59
P108,159,1.49
P109,537,4.83
P110,668,4.29
P111,655,1.81
P112,850,3.26
P113,563,2.04
P114,447,4.96
P115,413,1.69
P116,892,2.34
P117,607,4.76
P118,187,2.68
P119,850,2.75
P120,458,2.62
P121,474,3.13
P122,404,2.7
P123,323,2.4
P124,824,3.87
P125,670,1.95
P126,6,1.34
P127,156,3.86
P128,319,4.66
P129,795,4.04
P130,129,2.18
P131,87,3.93
P132,742,1.51
P133,626,3.66
P134,1,3.78
P135,410,4.65
P136,866,3.96
P137,498,1.97
P138,893,2.37
P139,512,3.08
P140,473,4.37
P141,835,1.39
P142,158,2.52
P143,345,3.06
P144,151,2.95
P145,935,4.37
P146,932,3.19
P147,113,2.93
P148,631,2.87
P149,849,1.63
P150,136,3.18
P151,528,3.5
P152,869,3.93
P153,87,4.21
P154,62,3.41
P155,190,2.91
P156,240,1.18
P157,933,1.44
P158,827,3.79
P159,581,2.8
P160,423,4.53
P161,803,4.51
P162,105,2.24
P163,464,3.36
P164,722,1.35
P165,977,3.81
P166,463,3.53
P167,872,3.63
P168,202,3.89
P169,714,2.72
P170,670,3.44
P171,798,2.82
P172,452,4.13
P173,314,4.8
P174,442,3.34
P175,801,1.89
P176,10,4.88
P177,102,2.13
P178,548,3.65
P179,344,1.28
P180,884,3.03
P181,262,4.2
P182,619,3.05
P183,499,4.72
P184,953,2.48
P185,992,2.54
P186,620,2.16
P187,610,4.68
P188,198,1.26
P189,817,2.37
P190,384,2.11
P191,833,3.36
P192,692,2.96
P193,603,1.35
P194,830,4.21
P195,675,3.69
P196,17,3.95
P197,259,2.22
P198,51,3.51
P199,296,4.9
P200,262,3.42
P201,569,1.97
P202,593,3.94
P203,371,3.67
P204,724,4.63
P205,531,3.96
P206,292,2.53
P207,47,3.1
P208,145,2.28
P209,901,4.31
P210,234,2.32
P211,822,4.77
P212,982,1.1
P213,451,1.25
P214,201,1.11
P215,959,1.77
P216,216,4.74
P217,704,4.89
P218,312,2.74
P219,380,2.55
P220,185,3.24
P221,248,1.76
P222,779,4.05
P223,640,3.63
P224,838,2.83
P225,820,1.65
P226,533,4.95
P227,148,4.37
P228,565,1.32
P229,15,2.72
P230,90,4.15
P231,660,2.4
P232,981,4.33
P233,32,3.95
P234,187,4.29
P235,45,4.54
P236,554,3.52
P237,116,3.99
P238,331,3.46
P239,18,4.39
P240,27,4.11
P241,94,3.02
P242,812,2.77
P243,102,1.68
P244,1000,3.58
P245,911,3.15
P246,874,1.99
P247,509,1.94
P248,995,4.4
P249,541,2.45
P250,318,4.0
P251,659,1.72
P252,531,2.26
P253,134,2.35
P254,194,3.15
P255,218,2.78
P256,379,1.36
P257,223,1.47
P258,59,4.07
P259,120,3.54
P260,931,2.54
P261,288,1.06
P262,634,1.92
P263,899,1.28
P264,848,2.65
P265,307,1.57
P266,568,1.2
P267,598,2.28
P268,796,3.95
P269,104,2.97
P270,76,3.2
P271,978,4.52
P272,705,2.36
P273,459,3.85
P274,165,3.71
P275,89,1.16
P276,681,4.5
P277,454,1.01
P278,25,4.58
P279,123,1.97
P280,349,1.16
P281,999,4.2
P282,537,2.48
P283,643,3.86
P284,587,3.35
P285,309,1.23
P286,405,2.32
P287,711,4.44
P288,214,4.98
P289,242,3.03
P290,777,3.2
P291,180,1.11
P292,917,1.89
P293,70,2.99
P294,739,4.97
P295,123,1.53
P296,234,3.1
P297,50,4.89
P298,426,3.4
P299,998,1.8
P300,938,4.35
P301,82,1.99
P302,310,4.73
P303,359,2.65
P304,261,5.0
P305,633,3.43
P306,647,1.14
P307,122,4.13
P308,643,3.55
P309,606,4.1
P310,518,1.66
P311,338,2.77
P312,71,2.95
P313,566,3.51
P314,638,1.04
P315,643,2.29
P316,401,4.13
P317,372,3.1
P318,824,2.81
P319,454,2.25
P320,599,1.9
P321,335,4.12
P322,465,4.23
P323,974,3.11
P324,797,1.11
P325,150,1.78
P326,74,1.4
P327,101,3.04
P328,334,2.4
P329,179,2.88
P330,610,3.15
P331,764,3.12
P332,936,1.42
P333,281,2.15
P334,378,3.55
P335,316,2.04
P336,540,1.99
P337,529,4.1
P338,14,4.76
P339,421,1.89
P340,770,2.23
P341,280,3.74
P342,272,3.69
P343,548,1.51
P344,378,3.38
P345,536,3.05
P346,682,4.59
P347,788,3.34
P348,442,4.92
P349,798,4.88
P350,769,2.37
P351,538,3.27
P352,644,1.04
P353,69,2.18
P354,368,1.66
P355,184,3.34
P356,606,1.68
P357,99,1.99
P358,107,1.48
P359,234,1.09
P360,50,1.64
P361,223,3.89
P362,462,3.83
P363,232,4.4
P364,650,2.65
P365,560,4.9
P366,654,4.36
P367,340,1.88
P368,215,3.53
P369,629,4.43
P370,934,4.34
P371,949,2.28
P372,59,4.98
P373,789,4.35
P374,209,3.54
P375,184,4.38
P376,563,2.92
P377,154,4.13
P378,670,3.0
P379,619,1.92
P380,953,4.01
P381,290,4.55
P382,457,2.45
P383,47,2.45
P384,112,4.19
P385,117,2.65
P386,799,3.61
P387,585,4.61
P388,297,3.69
P389,230,3.83
P390,391,3.48
P391,894,1.29
P392,771,2.48
P393,621,1.35
P394,533,1.96
P395,290,4.22
P396,790,3.97
P397,169,4.48
P398,486,4.46
P399,617,4.2
P400,677,2.24
P401,725,4.23
P402,898,1.39
P403,994,1.02
P404,468,4.9
P405,464,5.0
P406,952,3.7
